Kullanıcı_id,Kullanıcı Adı,Yorum,Tarih,Yıldız Sayısı
36,İ** a**,Aşırı toz topluyor,19 Ekim 2024,3
37,e** n**,kullanılır güzel ürün,19 Ekim 2024,4
38,**** ****,yaxwdi beyendim,19 Ekim 2024,5
39,**** ****,gayet güzel rahat kumaşı çok kalın değil ama mevsimlik kullanılır,19 Ekim 2024,4
40,Hürşat Y.,"tam bir fiyat performans ürünü,tereddütsüz alabilirsiniz",19 Ekim 2024,5
41,G** B** A**,fp ürünü yazlık kumaşı var eşim beğendi,19 Ekim 2024,4
42,**** ****,Ürün fotodaki gibi durmuyor kumaşı kalın gözüküyor ama geldiğinde kumaşince bir şey kumaşta fazla kaliyeli değil,19 Ekim 2024,2
43,Z** k**,yumadacik kaliteli tavsiye ederim,Elite Üye,5
44,O** K**,fiyat performans ürünü hızlı kargo sağolun,18 Ekim 2024,4
45,Ö** S**,kalıpları küçük,18 Ekim 2024,5
46,**** ****,yollayacaginiz eşofman bunu almayın hayal kırıklığı,18 Ekim 2024,1
47,B** T**,Ürünün bedeni yanlış gönderildi m beden istedim l gönderilmiş,18 Ekim 2024,1
48,e** v**,fotoğraftakiyle alakası yok almayın,18 Ekim 2024,1
49,H** H**,Herhalde boyu 110 olan Caferler için üretildi,18 Ekim 2024,1
50,A** T**,evde giymek için gayet iyi,17 Ekim 2024,5
51,H** p**,oğlum çok beğendi teşekkürler,17 Ekim 2024,5
52,E** Ç**,gayet güzel kumaşı var kendi bedeninizi sipariş edebilirsiniz,17 Ekim 2024,4
53,S** S**,"güzel , günlük ev modu için iyi",17 Ekim 2024,4
54,S** C**,çok ince kumaşı,17 Ekim 2024,1
55,**** ****,gayet güzel,17 Ekim 2024,5
56,M** E** A**,Ürün beklediğimden iyi geldi tam bedeninizi almanızı tavsiye ederim bufiyata bulabileceğiniz en iyisi,17 Ekim 2024,5
57,İ** K**,Fiyatına göre oldukça iyi bir ürün günlükkullanım için,Elite Üye,5
58,B** K**,ürün fiyatına göre on numara boyum 178 sadece 2 cm uzun geldi onundışında gayet iyi 78 kg L aldım tam oldu bedeninizi alabilirsiniz hızlıkargolama için satıcıya teşekkür ederim,16 Ekim 2024,5
59,b** E** d**,walla mükemmeldir GÜZEL OLMUŞTUR iki gözümdür,16 Ekim 2024,5
60,P** Ç**,fiyatına göre guzel bir urun bır beden kucuk alınabılır,Elite Üye,5
61,**** ****,ürün biraz geniş benden ler normalden geniş oluyor beden seçerken 1-2beden küçük söylemeniz lazım,16 Ekim 2024,3
62,E** T**,"2XL aldım, L beden kadar yok. 2 çeşit aldım ikisinde aynı",15 Ekim 2024,5
63,M** S** B**,Siyah Renk İstedim Beyaz Gönderildi,15 Ekim 2024,1
64,s** y**,Çok rahat memnun kaldık,15 Ekim 2024,5
65,**** ****,siyah istemiştim gri geldi.baska da gayet güzel,14 Ekim 2024,4
66,C** Ç**,Sevgilime aldım harika oldu. Bedene göre alınabilir.,14 Ekim 2024,5
67,**** ****,gayet güzel,14 Ekim 2024,5
68,N** Y**,kalibi rahat kumaşı mevsimlik güzel. teşekkürler,14 Ekim 2024,5
69,v** m**,ürünü siyah istedim gri geldi siparişlere daha dikkatli bakarsanızmemnun olurum.. tekrar iade ile uğraşmak istemediğimden ürünü kullanacağım,14 Ekim 2024,3
70,**** ****,Belirtildiği gibi orta kalınlıkta değil gayet ince yazlık bir eşofmanfotoğrafta gerçekten daha kalın görünüyordu :(,14 Ekim 2024,3
71,Ü** b** A**,çok kalitesiz kimse almasın,14 Ekim 2024,1
72,Ş** P**,kesinlikle mükemmel eşime aldim hiç ustune tam olan bir esofmaniolmamisti ya kisa ya dar olurdu bu cok guzel tam oldu favoriledim alinaldirin pisman olmazsiniz kaliteside gayet iyi biz cok memnun kaldik,14 Ekim 2024,5
73,**** ****,kesinlikle göründüğü gibi gelmedi,12 Ekim 2024,1
74,H** S**,Cok bgndım Bn fls ındrımde aldım cok gzl,Elite Üye,5
75,**** ****,Puanını hakeden bir ürün,12 Ekim 2024,5
76,H** o**,iki rengi aldım birtanesinde sorun yaşamıştım satıcı çok ilgili davranıpilgilendi teşekkür ediyorum,Elite Üye,5
77,**** ****,Çok beğendim oğluma almıştım tavsiye ederim güzel,11 Ekim 2024,5
78,**** ****,ürünün bedeni yanlış geldi,11 Ekim 2024,1
79,S** K**,"iki renk aldım, gri olan daha pamuklu gibi, siyah çok naylonsuduruyor,çok ince, siyahı iade edeceğim",Elite Üye,4
80,E** A**,"Önceden XXL aldım cuk oldu, beğendim bir tane daha sipariş verdim busefer dar oldu.",11 Ekim 2024,1
81,**** ****,mükemmel bir beden büyük alin,11 Ekim 2024,5
82,**** ****,eşime almiştim çok rahat,11 Ekim 2024,5
83,s** N**,böyle bir fiyata Göre gayet şık ve rahat tavsiye edebilirim 180 -70kilo L beden ideal buarada,11 Ekim 2024,4
84,E** G**,Hızlı geldi fiyatına göre kalitesi,Elite Üye,4
85,**** ****,Biraz ince ama güzel,10 Ekim 2024,4
86,n** s** Ç**,bence gayyet güzel ben çok beğendimm ama tam beden alabilirsiniz ben sgiyiyorum belki basenlerim yüzünden dar durur diye m almıştım ama m degerçekten çok büyük durdu ama olsun ona rağmen çok güzel,10 Ekim 2024,5
87,**** ****,Beklediğim gibi gelmedi s istedim yanlış dikiş galiba l gibi,10 Ekim 2024,1
88,**** ****,Güzel geldi fiyata göre,09 Ekim 2024,4
89,Ç** Ç**,önceki aldığımız daha kalındı ama fena değil kullanışlı gibi duruyo,Elite Üye,4
90,**** ****,çok güzel yürüyüşte giyiyorm,09 Ekim 2024,5
91,S** Ü**,fiyatına göre iyi .,09 Ekim 2024,5
92,**** ****,Bu fiyata çok güzel sadece fazla sıcakta yıkamayın,Elite Üye,5
93,N** Y** A**,oğlumun çok hoşuma gitti,08 Ekim 2024,4
94,E** V**,harıka yumuşak dokusu,08 Ekim 2024,5
95,Y** M**,kaliteli eşim beğendi,08 Ekim 2024,5
96,A** n** K**,Hiç güzel değil grisini aldık o güzel geldi bunun kalitesi çok kötü,08 Ekim 2024,1
97,P** D**,fena değil,08 Ekim 2024,5
98,c** d**,ürün çok güzel gönül rahatlığıyla alabilirsiniz abime aldım çok beğendi,23 Eylül 2024,5
99,H** D**,satıcı yorumuna bakarak S beden aldim küçük geldi m ile değişimyapabilir miyim onun dışında ürün kalitesi çok güzel,07 Ekim 2024,5
100,V** g**,Oğlum için aldım 165 boy 52 kg S beden tam oldu. Bol kesim kumaşı güzelmevsimlik ve kaliteli,06 Ekim 2024,4
101,S** Ç**,urun guzel begendik tam bed3n qlabilirsiniz,26 Eylül 2024,5
102,E** T**,Çok güzel bi ürün kardeşim için aldım çok beğendi fiyat performans gerçekten,13 Eylül 2024,5
103,A** Ö**,göründüğü gibi güzel kullanışlı kalite iyi bedeninizi alin,01 Ekim 2024,5
104,Ö** g** K**,yumuşacık tam beden tavsiye ederim,Elite Üye,5
105,Y** B**,"Fiyatına göre çok iyi, tavsiye ederim",Elite Üye,5
106,G** A**,Ürün hızlı ve sorunsuz teslim edildi. Yapısı itibariyle yazlık inceliktebir kumaş ev içinde kullanmak için almıştım. Bunu düşünerek alındışarıda giyemezsiniz. Kalıp olarak da dar kendi bedeninizden 1 bedenbüyük bile dar geldi bilginiz olsun.,07 Ekim 2024,3
107,G** A**,orta kalite bir urun evde pijama olarak giyilebilir.,05 Ekim 2024,4
108,Z** A**,kumaşı çok güzel kaliteli eşofman gibide durmuyo daha şık ama rahat uzunolmama rağmen uzun geldi ama iyidr,19 Eylül 2024,5
109,A** A**,Ürün çok güzel ve kaliteli,16 Eylül 2024,5
110,E** s**,ürün beklediğim den daha iyi geldi ve teskler ediyorum,30 Eylül 2024,5
111,E** Ö**,fiyatına göre harika,07 Ekim 2024,5
112,**** ****,çox yaxşı gəldi Ölçüsüdə Düzdü,19 Eylül 2024,5
113,U** ü**,"bu nasıl bir rezillik, gelen 2XL ürün ama neredeyse L beden boyutunda.bu şekilde ürün satmaya utanmıyorsanız diyecek birşey yok.",04 Ekim 2024,1
114,**** ****,Sorunsuz herkes alabilir üründe özellik ne yazıldıysa resimdeki negörünüyor da o geliyor beğendim . Eksiklerimi artık kafam takılmadanrahatca sipariş verebileceğim bir satıcı sağol,02 Ekim 2024,5
115,E** T** D**,"İki ürün aldım pamuklu diye düşünüp, %78 pamuk yazıyor ama polyesteroranı daha fazla gibi yada kaliteli bi ürün değil. Şimdilik uzun vadedekullanmadım bir şey demek istemiyorum ama 300 tl verdim tanesinebeklentiyi karşılamıyor bence. % 100 pamuk başka bir şey bakın derim.Boy kilo açısından uygundu.",14 Eylül 2024,3
116,m** k** a**,urun normal gec cocuga kısa geldı 10 santım,27 Eylül 2024,1
117,A** A**,biraz ince. ama gayet kullanışlı.,11 Ekim 2024,5
118,S** G**,ürün resimde gördüğünüz gibi sadece kumaşı biraz ince onun dışında fiyatperformans urunu,24 Eylül 2024,5
119,İ** B**,parasına göre iyi,05 Ekim 2024,4
120,D** S**,yikayinca nasil olacak bilemem ama idare eder,28 Eylül 2024,4
121,S** K** G**,ince kumaşı kalıbı fena değil,Elite Üye,4
122,R** a**,ürün ince kışlık değil,Elite Üye,5
123,S** Ü**,fiyat performans iyi,04 Ekim 2024,5
124,A** D**,İdare eder fiyatı fazla ürüne göre pazardan yollamıslar,13 Eylül 2024,3
125,b** t**,penye ince ve dikişleri iyi kullanıyorum sorun yok alan herkese hayırlı olsun,02 Ekim 2024,4
126,**** ****,resımdekı urun asla değıl uzakdan yakından alakası yok .keşkıalmasaydım. 😔,30 Eylül 2024,1
127,c** e**,bagcık kısmı beyaz baska bir ütün iade ile ugrasmıcam ama nedenfotodakini gondermiyorsunuz da insanları ugrastırıyorsunuz,12 Eylül 2024,1
